Geo_FIPS,State,State_code,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_MSA,Confirmed Cases,Deaths,Currently Hospitalized,Negative Test,Positive Test,Change in Confirmed Cases from PD,Cases Growth Rate from PD,Deaths Growth Rate from PD,Change in Cases from PW,Percent Change in Cases from PW,Change in Cases from PM,Percent Change in Cases from PM,Change in Deaths from PW,Percent Change in Deaths from PW,Change in Deaths from PM,Percent Change in Deaths from PM,Percent of Population with Confirmed Cases ,Percent of Population Deaths,Case Rate per 100000,Death Rate per 100000
1,Alabama,AL,0,1,,,517114,10652,,,,196,0.04,0.13,2134,0.41,17295,3.46,125,1.19,504,4.97,10.63,0.22,10629.97,218.97
2,Alaska,AK,0,2,,,63566,299,,,,80,0.13,0,1171,1.88,4696,7.98,0,0,7,2.4,8.61,0.04,8607.26,40.49
4,Arizona,AZ,0,4,,,845488,16997,,,,567,0.07,0.04,4410,0.52,19034,2.3,56,0.33,669,4.1,12.17,0.24,12171.1,244.68
5,Arkansas,AR,0,5,,,331261,5653,,,,163,0.05,0.09,1075,0.33,6443,1.98,37,0.66,334,6.28,11.08,0.19,11076.48,189.02
6,California,CA,0,6,,,3685186,59847,,,,2240,0.06,0.14,18776,0.51,85470,2.37,758,1.28,5630,10.38,9.41,0.15,9413.29,152.87
8,Colorado,CO,0,8,,,472941,6194,,,,1239,0.26,0.06,9950,2.15,35215,8.04,22,0.36,119,1.96,8.55,0.11,8550.51,111.98
9,Connecticut,CT,0,9,,,317729,7930,,,,1074,0.34,0.09,7673,2.47,32399,11.35,45,0.57,226,2.93,8.87,0.22,8871.38,221.42
10,Delaware,DE,0,10,,,96806,1567,,,,229,0.24,0.06,2233,2.36,8452,9.57,8,0.51,94,6.38,10.2,0.17,10195.52,165.04
11,District of Columbia,DC,0,11,,,45234,1074,,,,122,0.27,0.19,821,1.85,3815,9.21,13,1.23,44,4.27,6.61,0.16,6608.35,156.9
12,Florida,FL,0,12,,,2090854,33779,,,,5556,0.27,0.21,38421,1.87,145867,7.5,442,1.33,2097,6.62,10.15,0.16,10150.69,163.99
13,Georgia,GA,0,13,,,1042793,18651,,,,1518,0.15,0.14,9414,0.91,44539,4.46,245,1.33,1303,7.51,10.13,0.18,10126.68,181.12
15,Hawaii,HI,0,15,,,30479,464,,,,52,0.17,0,790,2.66,2658,9.55,5,1.09,22,4.98,2.14,0.03,2143.35,32.63
16,Idaho,ID,0,16,,,182315,1977,,,,354,0.19,0.1,2082,1.16,9304,5.38,17,0.87,95,5.05,10.8,0.12,10801.87,117.13
17,Illinois,IL,0,17,,,1265309,23673,,,,2964,0.23,0.03,19761,1.59,63549,5.29,131,0.56,659,2.86,9.87,0.18,9868.65,184.64
18,Indiana,IN,0,18,,,695532,13084,,,,614,0.09,0.07,6792,0.99,25032,3.73,46,0.35,347,2.72,10.48,0.2,10478.94,197.12
19,Iowa,IA,0,19,,,354557,5835,,,,728,0.21,0.22,3801,1.08,14885,4.38,106,1.85,276,4.96,11.32,0.19,11318.66,186.27
20,Kansas,KS,0,20,,,305508,4927,,,,19,0.01,0,1329,0.44,6608,2.21,25,0.51,115,2.39,10.5,0.17,10502.97,169.38
